Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/3_source_receptors/SR_PM25_Y_20170322_potencyBased.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;Cardiff;Cardiff_City;10;NH3;5.091447e-02;4.532277e-01;7.341683e-04;1.123375e+01;2.545724e-02;3.467493e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;10;NMVOC;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;10;NOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;10;PPM;1.158470e-03;1.031241e-02;1.323402e-03;1.123375e+01;5.792352e-04;4.376865e-01
sherpa_chimere;PM25;Cardiff;Cardiff_City;10;SOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;1;NH3;1.030430e-03;9.172629e-03;5.014753e-04;1.123375e+01;5.152151e-04;1.027399e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;1;NMVOC;3.780271e-05;3.365102e-04;5.385414e-07;1.123375e+01;1.890136e-05;3.509731e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;1;NOx;3.683137e-01;3.278636e+00;3.505155e-05;1.123375e+01;1.841569e-01;5.253887e+03
sherpa_chimere;PM25;Cardiff;Cardiff_City;1;PPM;1.647892e-01;1.466912e+00;5.912065e-04;1.123375e+01;8.239460e-02;1.393669e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;1;SOx;4.175566e-02;3.716983e-01;2.503876e-05;1.123375e+01;2.087783e-02;8.338204e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;2;NH3;5.947534e-04;5.294344e-03;7.289690e-04;1.123375e+01;2.973767e-04;4.079415e-01
sherpa_chimere;PM25;Cardiff;Cardiff_City;2;NMVOC;4.233929e-05;3.768936e-04;8.957378e-07;1.123375e+01;2.116964e-05;2.363375e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;2;NOx;1.664105e-02;1.481344e-01;6.290782e-05;1.123375e+01;8.320525e-03;1.322654e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;2;PPM;1.805501e-02;1.607211e-01;1.233893e-03;1.123375e+01;9.027506e-03;7.316277e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;2;SOx;6.712083e-04;5.974927e-03;4.038786e-05;1.123375e+01;3.356042e-04;8.309532e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;3;NH3;3.384138e-04;3.012474e-03;8.406379e-04;1.123375e+01;1.692069e-04;2.012839e-01
sherpa_chimere;PM25;Cardiff;Cardiff_City;3;NMVOC;1.108901e-05;9.871153e-05;5.377278e-07;1.123375e+01;5.544504e-06;1.031098e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;3;NOx;2.887713e-02;2.570569e-01;5.673170e-05;1.123375e+01;1.443856e-02;2.545061e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;3;PPM;1.947568e-02;1.733676e-01;1.188103e-03;1.123375e+01;9.737842e-03;8.196128e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;3;SOx;2.389158e-02;2.126768e-01;5.415594e-05;1.123375e+01;1.194579e-02;2.205814e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;4;NH3;1.614263e-03;1.436976e-02;4.617933e-04;1.123375e+01;8.071313e-04;1.747820e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;4;NMVOC;2.576248e-04;2.293310e-03;6.702925e-07;1.123375e+01;1.288124e-04;1.921734e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;4;NOx;7.902183e-03;7.034324e-02;3.526468e-05;1.123375e+01;3.951092e-03;1.120411e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;4;PPM;2.085122e-02;1.856123e-01;1.199304e-03;1.123375e+01;1.042561e-02;8.693052e+00
