Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20171207_SRR_noFlatWeight_120cells/3_source_receptors/SR_PM25_Y.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;10;NH3;2.651579e-02;2.360368e-01;3.823481e-04;1.123375e+01;1.325789e-02;3.467493e+01
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;10;NMVOC;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;10;NOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;10;PPM;1.892292e-03;1.684471e-02;2.161698e-03;1.123375e+01;9.461462e-04;4.376865e-01
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;10;SOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;1;NH3;5.728584e-04;5.099440e-03;2.787907e-04;1.123375e+01;2.864292e-04;1.027399e+00
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;1;NMVOC;4.503275e-05;4.008701e-04;6.415412e-07;1.123375e+01;2.251637e-05;3.509731e+01
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;1;NOx;3.476649e-01;3.094825e+00;3.308645e-05;1.123375e+01;1.738325e-01;5.253887e+03
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;1;PPM;1.984549e-01;1.766595e+00;7.119873e-04;1.123375e+01;9.922744e-02;1.393669e+02
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;1;SOx;3.375044e-02;3.004379e-01;2.023843e-05;1.123375e+01;1.687522e-02;8.338204e+02
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;2;NH3;3.111416e-04;2.769704e-03;3.813557e-04;1.123375e+01;1.555708e-04;4.079415e-01
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;2;NMVOC;5.841322e-05;5.199797e-04;1.235801e-06;1.123375e+01;2.920661e-05;2.363375e+01
sherpa_chimere_noFW_120cls;PM25;Cardiff;Cardiff_City;2;NOx;1.515541e-02;1.349096e-01;5.729170e-05;1.123375e+01;7.577707e-03;1.322654e+02
